Deal Name	Notes	Competitor	Lost Reason (optional)
AlphaTech	Customer said price too high	Competitor X	
BetaCloud	Didn’t respond to follow-ups	None	
GammaAI	Feature requested was missing	Competitor Y	
DeltaSolutions	Chose competitor X for faster delivery	Competitor X	
EpsilonSoft	Budget constraints	None	
ZetaApps	Decision delayed multiple times	None	
ThetaSystems	Customer required additional compliance certifications	None	
IotaCloud	Didn’t have needed integrations	None	
KappaAI	Customer switched to another vendor	Competitor Y	
LambdaSoft	No internal approval for purchase	None	